accepted,IsA,proposal,0.0,3,2,1
lookin,IsA,search,0.0,3,2,1
wonder,IsA,astonishment,-0.006970056373460306,160,2,1
one,IsA,a number,-1,-1,-1,-1
drama,IsA,writing style,-1,-1,-1,-1
drama,IsA,emotionality,-0.039925482875857767,160,159,1
half,IsA,part,0.0,3,2,1
telling,IsA,informing,-0.006970056373460306,160,2,1
telling,IsA,telling,0,0,0,0
month,IsA,month,0,0,0,0
throwing,IsA,propelling object,-1,-1,-1,-1
radford,IsA,bentley,0.0,3,2,1
home,IsA,where the heart is,-1,-1,-1,-1
killed,IsA,killed,0,0,0,0
innocent,IsA,innocent,0,0,0,0
row,IsA,fight,0.0,3,2,1
row,IsA,row,0,0,0,0
insult,IsA,insult,0,0,0,0
topic,IsA,topic,0,0,0,0
argument,IsA,discussion,0.0,3,2,1
difference,IsA,change,-0.039925482875857767,160,159,1
fake,IsA,imitation,0.0,3,2,1
fake,IsA,fake,0,0,0,0
may,IsA,Gregorian calendar month,-1,-1,-1,-1
hangin,IsA,execution,-0.006970056373460306,160,2,1
hangin,IsA,hanging,0.014387546755599792,160,2,5
person,IsA,a person,-1,-1,-1,-1
drag,MannerOf,pull,-0.006797372005639958,3,3,1
understand,MannerOf,understand,0,0,0,0
show,MannerOf,show,0,0,0,0
feel,MannerOf,feel,0,0,0,0
pubg,MannerOf,tell,-0.011083052667073932,3,160,1
keep,MannerOf,grow,-0.011094775566045753,3,159,1
appreciate,MannerOf,understand,-0.011083052667073932,3,160,1
give,MannerOf,submit,-0.006970056373460306,160,2,1
credit,MannerOf,credit,0,0,0,0
credit,MannerOf,impute,0.0,3,2,1
swear,MannerOf,vow,0.0,3,2,1
wonder,MannerOf,question,-0.039925482875857767,160,159,1
become,MannerOf,become,0,0,0,0
close,MannerOf,close,0,0,0,0
remember,MannerOf,mention,-0.006970056373460306,160,2,1
put,MannerOf,change,-0.011094775566045753,3,159,1
bother,MannerOf,confuse,-0.006970056373460306,160,2,1
tell,MotivatedByGoal,tell someone something,-1,-1,-1,-1
need,MotivatedByGoal,you need them,-1,-1,-1,-1
cool,MotivatedByGoal,be cool,-1,-1,-1,-1
smoke,MotivatedByGoal,you're stupid,-1,-1,-1,-1
smoke,MotivatedByGoal,you are addicted to nicotine,-1,-1,-1,-1
keep,MotivatedByGoal,keep it,-1,-1,-1,-1
kiss,MotivatedByGoal,express that you love them,-1,-1,-1,-1
kiss,MotivatedByGoal,show love,-1,-1,-1,-1
kiss,MotivatedByGoal,show affection,-1,-1,-1,-1
love,MotivatedByGoal,i love them,-1,-1,-1,-1
